,Airline,Source,Destination,Additional_Info,Total_Stops,Price,Part_of_day_Arrival,Part_of_day_Dep
0,IndiGo,Kolkata,Banglore,No info,non-stop,5644,Late afternoon,Early afternoon
1,Vistara,Mumbai,Hyderabad,No info,1 stop,12395,Morning,Morning
2,IndiGo,Banglore,Delhi,No info,non-stop,4077,Morning,Early morning
3,Vistara,Kolkata,Banglore,No info,1 stop,8610,Night,Evening
4,IndiGo,Banglore,New Delhi,No info,non-stop,10067,Early afternoon,Morning
5,IndiGo,Chennai,Kolkata,No info,non-stop,4332,Night,Evening
6,Jet Airways,Kolkata,Banglore,No info,1 stop,13941,Early morning,Evening
7,Jet Airways,Banglore,New Delhi,No info,1 stop,26890,Mid-night,Night
8,Multiple carriers,Delhi,Cochin,No info,1 stop,13377,Mid-night,Early afternoon
9,IndiGo,Delhi,Cochin,No info,1 stop,6979,Mid-night,Morning
10,Jet Airways,Delhi,Cochin,In-flight meal not included,2 stops,10368,Morning,Evening
11,Jet Airways,Delhi,Cochin,No info,2 stops,15129,Morning,Evening
12,Jet Airways,Banglore,New Delhi,No info,1 stop,31825,Morning,Evening
13,Air India,Delhi,Cochin,No info,2 stops,8446,Evening,Early morning
14,Air India,Kolkata,Banglore,No info,1 stop,6528,Early afternoon,Early afternoon
15,Air India,Banglore,New Delhi,No info,non-stop,12526,Late afternoon,Early afternoon
16,Air India,Banglore,New Delhi,1 Long layover,1 stop,12599,Night,Mid-night
17,Air India,Banglore,New Delhi,No info,1 stop,8714,Late afternoon,Morning
18,Jet Airways,Delhi,Cochin,No info,2 stops,15439,Evening,Late morning
19,Vistara,Banglore,Delhi,No info,non-stop,4668,Morning,Early morning
20,IndiGo,Delhi,Cochin,No info,1 stop,6442,Evening,Late morning
21,Multiple carriers,Delhi,Cochin,No info,1 stop,9315,Evening,Early morning
22,Jet Airways,Delhi,Cochin,No info,1 stop,12242,Early morning,Night
23,Vistara,Chennai,Kolkata,No info,non-stop,3687,Morning,Early morning
24,IndiGo,Delhi,Cochin,No info,1 stop,6938,Night,Early afternoon
25,Jet Airways,Kolkata,Banglore,No info,1 stop,14388,Morning,Early afternoon
26,IndiGo,Banglore,Delhi,No info,non-stop,4823,Night,Evening
27,GoAir,Banglore,New Delhi,No info,non-stop,7631,Morning,Early morning
28,Air India,Kolkata,Banglore,No info,2 stops,13033,Mid-night,Morning
29,SpiceJet,Delhi,Cochin,No info,1 stop,4466,Early afternoon,Morning
30,Air Asia,Banglore,Delhi,No info,non-stop,4282,Early morning,Early morning
31,Multiple carriers,Delhi,Cochin,No info,1 stop,13587,Night,Morning
32,Jet Airways,Kolkata,Banglore,No info,1 stop,14388,Morning,Morning
33,Jet Airways,Banglore,New Delhi,In-flight meal not included,1 stop,11087,Late afternoon,Evening
34,Multiple carriers,Delhi,Cochin,No info,1 stop,17267,Late afternoon,Early morning
35,Air Asia,Delhi,Cochin,No info,1 stop,6151,Early morning,Late afternoon
36,Vistara,Banglore,New Delhi,No info,non-stop,21520,Morning,Early morning
37,Air Asia,Kolkata,Banglore,No info,1 stop,5192,Morning,Night
38,Air India,Kolkata,Banglore,No info,1 stop,7795,Night,Morning
39,IndiGo,Delhi,Cochin,No info,1 stop,6938,Night,Late afternoon
40,Multiple carriers,Delhi,Cochin,No info,1 stop,9646,Late afternoon,Early morning
41,Air India,Delhi,Cochin,No info,2 stops,11732,Evening,Evening
42,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,7064,Morning,Evening
43,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,12384,Evening,Morning
44,Multiple carriers,Delhi,Cochin,No info,1 stop,9794,Evening,Early morning
45,Multiple carriers,Delhi,Cochin,No info,1 stop,6358,Night,Early morning
46,SpiceJet,Chennai,Kolkata,No info,non-stop,6300,Morning,Morning
47,Air India,Delhi,Cochin,No info,non-stop,5201,Morning,Early morning
48,Jet Airways,Banglore,New Delhi,In-flight meal not included,1 stop,7832,Early afternoon,Early morning
49,Jet Airways,Kolkata,Banglore,No info,1 stop,12692,Morning,Morning
50,Jet Airways,Kolkata,Banglore,No info,1 stop,13941,Morning,Evening
51,IndiGo,Delhi,Cochin,No info,2 stops,6494,Night,Late morning
52,Jet Airways,Kolkata,Banglore,No info,1 stop,14388,Early morning,Night
53,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,10844,Evening,Early morning
54,Multiple carriers,Delhi,Cochin,No info,1 stop,8266,Evening,Morning
55,IndiGo,Kolkata,Banglore,No info,non-stop,4804,Mid-night,Night
56,Multiple carriers,Delhi,Cochin,No info,1 stop,10529,Evening,Late morning
57,Jet Airways,Delhi,Cochin,No info,1 stop,15554,Evening,Mid-night
58,SpiceJet,Kolkata,Banglore,No info,1 stop,4963,Evening,Late afternoon
59,Multiple carriers,Delhi,Cochin,No info,1 stop,7485,Mid-night,Evening
60,Multiple carriers,Delhi,Cochin,No info,1 stop,10678,Evening,Early morning
61,Jet Airways,Kolkata,Banglore,No info,1 stop,13626,Evening,Morning
62,IndiGo,Delhi,Cochin,No info,non-stop,6015,Evening,Early afternoon
63,Multiple carriers,Delhi,Cochin,No info,1 stop,8307,Late afternoon,Morning
64,Jet Airways,Kolkata,Banglore,No info,1 stop,14151,Night,Evening
65,IndiGo,Banglore,New Delhi,No info,non-stop,4777,Early afternoon,Morning
66,Vistara,Banglore,Delhi,No info,non-stop,5403,Night,Night
67,Air India,Delhi,Cochin,No info,1 stop,8372,Evening,Morning
68,Jet Airways,Delhi,Cochin,No info,2 stops,13292,Evening,Night
69,Multiple carriers,Delhi,Cochin,No info,1 stop,9718,Night,Morning
70,Jet Airways,Kolkata,Banglore,No info,1 stop,14781,Late afternoon,Early morning
71,IndiGo,Delhi,Cochin,No info,1 stop,6979,Night,Early morning
72,Jet Airways,Delhi,Cochin,In-flight meal not included,2 stops,10368,Evening,Morning
73,Jet Airways,Delhi,Cochin,No info,2 stops,12074,Early morning,Early morning
74,Jet Airways,Kolkata,Banglore,No info,1 stop,13364,Evening,Early afternoon
75,Jet Airways,Kolkata,Banglore,No info,1 stop,12739,Early morning,Early afternoon
76,Vistara,Kolkata,Banglore,No info,1 stop,7927,Night,Early morning
77,Jet Airways,Banglore,Delhi,In-flight meal not included,non-stop,6144,Night,Evening
78,Jet Airways,Banglore,New Delhi,No info,1 stop,13555,Morning,Late afternoon
79,Jet Airways,Mumbai,Hyderabad,No info,non-stop,5678,Early morning,Mid-night
80,IndiGo,Kolkata,Banglore,No info,1 stop,5279,Early afternoon,Morning
81,Jet Airways,Kolkata,Banglore,In-flight meal not included,1 stop,10703,Morning,Evening
82,SpiceJet,Kolkata,Banglore,No info,non-stop,3873,Late morning,Morning
83,Air Asia,Kolkata,Banglore,No info,non-stop,3807,Mid-night,Night
84,IndiGo,Banglore,New Delhi,No info,non-stop,6860,Late morning,Morning
